場面,ルート,キャラクター名,内容
あらすじ,共通,ナレーター,クリスマスへ向けて準備を進めているサンタ工房
あらすじ,共通,ナレーター,今年のクリスマスは新プロジェクト「サプライズ花火」の企 画が立ち上がり
あらすじ,共通,ナレーター,リーダーとして任命された若手サンタ(プレイヤー)が一癖、二癖あるメンバーをまとめ、 成功へと目指していく物語
,,,
Day1(午前),共通,先輩サンタ,「皆お疲れ様！この前話していたプロジェクトなんだが、今年は従来と違い “サプライズ花火”で世界中に笑顔を届けることになった！」
Day1(午前),共通,先輩サンタ,「そこで今回のプロジェクトリーダーなんだが、君にお願いすることになった！みんなに意気込みを頼む！」
Day1(午前),共通,ナレーター,チームのみんなに早速挨拶を頼まれた主人公
Day1(午前),共通,ナレーター,さあ、どんな言葉をかけようか？
,,,
Day1(午後),,雪だるま２,「それで、花火ってどんなものを打ち上げるの？」
Day1(午後),,トナカイ,「仕様からちゃんと考えていかないと、間に合わなくなる可能性もある」
Day1(午後),,ナレーター,"チーム全員が集まり、プロジェクトの方針を話し合う時間が始まった。
"
Day1(午後),,ナレーター,あなたは、リーダーとしてどんな方向性を示す？
,,,
Day2(午前),,雪だるま１,「これはきっとすごいものになるぞ…」
Day2(午前),,ナレーター,「確認をしてみたら雪だるまが勝手にド派手なハート型爆発花火の試作品を用意していた」
Day2(午前),,トナカイ,「まて、その花火の試作品、だれも了承を得ていないと言っているぞ」
Day2(午前),,雪だるま２,「これはさすがにやりすぎじゃないかな…」
Day2(午前),,ナレーター,「あなたは、この状況をどうする？」
,,,
Day3(午前),,雪だるま２,「あれ？トナカイさん、まだ機能のパーツ仕上がっていないんですか？」
Day3(午前),,トナカイ,「…すまない。想定より時間がかかってしまって」
Day3(午前),,雪だるま１,「え！このままじゃ俺が担当している部分はどうなるんですか！」
Day3(午前),,ナレーター,「チームの空気が少しピリついています…あなたはリーダーとしてどう動きますか？」
,,,
Day3(午後),,ナレーター,「プロジェクトの様子を見ていた先輩サンタが、あなたに声をかけてくる。」
Day3(午後),,サンタ,「ずっとみんなの先頭に立っているようだけど…」
Day3(午後),,サンタ,「リーダーっていうのは、見守るだけでも良いんだよ」
Day3(午後),,ナレーター,「この言葉、あなたならどう受け止める？」
,,,
Day4(午前),,雪だるま１,「発射準備よし！」
Day4(午前),,トナカイ,「安全装置確認、点火します！」
Day4(午前),,ナレーター,「…しかし、発射装置が誤作動を起こして、花火がうまく打ちあがらなかった」
Day4(午前),,雪だるま２,「あぁ…、せっかくの試作品が」
Day4(午前),,ナレーター,「チームに焦りと不安が広がる中、あなたはどうする？」
,,,
Day4(午後),,雪だるま１,「あのタイミングで点火したら意味ありませんよ！」
Day4(午後),,トナカイ,「あなたの設計が曖昧だったせいだろう！」
Day4(午後),,雪だるま２,「ま、まあまあ…二人とも落ち着いて…」
Day4(午後),,ナレーター,プロジェクトも大詰めを迎えてきているが、チームの雰囲気はプロジェクト進行に支障をきたすレベル…
Day4(午後),,ナレーター,あなたはリーダーとして、この対立をどう扱う？
,,,
Day5(午前),,雪だるま２,「ついに、明日が本番だね」
Day5(午前),,トナカイ,「資料と機材、最終確認が必要ですね」
Day5(午前),,ナレーター,あなたは、チームの総仕上げに向けてどう進める？
,,,
Day6,,ナレーター,ついに花火打ち上げ当日
Day6,,ナレーター,来る夜に向けて打ち上げ装置の前に立っています
Day6,,ナレーター,「準備完了です！発射します！」
Day6,,効果音,ドーンッ！
Day6,,ナレーター,美しく打ちあがる花火と、それを見て笑顔になる子供たち
Day6,,ナレーター,プロジェクトは無事成功
Day6,,ナレーター,その時、あなたはチームに向けて最後のメッセージを伝える
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
選択肢A出現,,,
